comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,post_id
122845.0,30.0,Ça donne envie  [APPRECIATION],instagram,6Sens Pastry,2025-09-23T16:06:23.000Z,2.0,appreciation,,,,,,False,10001.0
8.0,427610.0,La terrasse est magnifique leur brunch à tester  [APPRECIATION],instagram,6Sens Pastry,2025-11-19T17:29:26.000Z,2.0,appreciation,,appreciation,,,,False,10001.0
11.0,299340.0,Magnifique hâte de goûter  [APPRECIATION],instagram,6Sens Pastry,2025-11-21T20:02:38.000Z,2.0,,,,,,,True,10001.0
4.0,435059.0,On a mangé la bas en famille cet été c'était juste magnifique à côté du mediterrannean garden franchement au top,instagram,6Sens Pastry,2025-11-19T18:33:03.000Z,2.0,,,appreciation,,,,False,10001.0
17.0,699385.0,The Besttt pastry eveeeer  [APPRECIATION],instagram,6Sens Pastry,2025-06-14T16:32:47.000Z,4.0,appreciation,,,,,,False,10001.0
10.0,836955.0,Meilleur brunch de oran  [BOUFFE],instagram,6Sens Pastry,2025-11-19T18:32:24.000Z,3.0,appreciation,,,,,,False,10001.0
7.0,187843.0,The best  [APPRECIATION],instagram,6Sens Pastry,2025-11-19T19:09:36.000Z,2.0,appreciation,appreciation,appreciation,appreciation,appreciation,appreciation,False,10001.0
33.0,203686.0,Oui oui je le confirme pleinement,instagram,6Sens Pastry,2025-10-06T23:45:04.000Z,1.0,,,,,,,True,10001.0
14.0,861561.0,Magnifique MA CHAA ALLAH,instagram,6Sens Pastry,2025-06-14T20:17:49.000Z,4.0,,,appreciation,,,,False,10001.0
26.0,734877.0,le meilleur [APPRECIATION],instagram,6Sens Pastry,2025-12-03T15:15:04.000Z,1.0,,,appreciation,,,,False,10001.0
23.0,875079.0,Le meilleur endroit pour se poser entre famille et amis c’est calme et les pâtisseries sont délicieuses  Bravo à toutes l’équipe  [APPRECIATION] [BOUFFE],instagram,6Sens Pastry,2025-06-14T18:47:07.000Z,7.0,appreciation,,appreciation,,,,False,10001.0
18.0,881737.0,Mashalah  ان شاء الله تزور وهران و نذوق من عنده  [APPRECIATION],instagram,6Sens Pastry,2025-07-31T09:49:51.000Z,1.0,,,,,,,True,10001.0
37.0,140692.0,Trés jolie pub,instagram,6Sens Pastry,2025-09-28T19:02:40.000Z,3.0,,,,,,,True,10001.0
24.0,280113.0,Très bon restaurant très savoureux et le personnel est très accueillant fortement recommandé!,instagram,6Sens Pastry,2025-07-08T13:12:16.000Z,2.0,Appreciation,Appreciation,Appreciation,,,Appreciation,False,10001.0
35.0,680500.0,"Très bel endroit, beaucoup de souvenirs.",instagram,6Sens Pastry,2025-12-13T20:34:00.000Z,0.0,,,Appreciation,,,,False,10001.0
36.0,420411.0,الاستمتاع مع صوت,instagram,6Sens Pastry,2025-12-08T20:34:50.000Z,0.0,,,,,,,True,10001.0
493579.0,62628.0,بعض تعليقات 0/10,tiktok,Allechante,2026-01-02T21:30:53.973716,2.0,,,,,,,True,10002.0
755926.0,63094.0,صومةً الله يجيب خسر,tiktok,Allechante,2026-01-02T21:31:04.202477,0.0,,,,,,,True,10002.0
887542.0,62712.0,j'ai visité cet endroit. il est très magnifique seulement le serveur avec queue de cheval doit sourire avec les gens. sinon j'adore Oran et les Oranais,tiktok,Allechante,2026-01-02T21:30:54.860456,0.0,,,appreciation,,,complaint,False,10002.0
