final_id,comment_id,platform,source_name,comment_text,date,likesCount,Topic_REVIEWED,sentiment,intent
655375,52270,tiktok,@uncles_burger_dz,كليت عندهم كلش توب والله,2026-01-02T21:03:28.158417,0,,,
917520,5822,Google Maps,Casbah istanbul,"Franchement tout est parfait. J’ai rarement était aussi bien servis ! Les serveurs sont sourient, agréable et très professionnel. La nourriture est très bonne !",2025-09-10T04:47:44.286Z,0,"food,treatment",,
524304,59682,tiktok,@maestro_dz13,سلطان كرنيش و ريس فود,2026-01-02T21:21:39.459163,0,,,
262164,46838,tiktok,@oumanger.oran,Je vous deconseille mdrrr j'ai fait des kilometre arriver la bas ils ont que des sandwichs il y a 1h d'attentes le service mal foutu sa donne pas envie,2026-01-02T20:23:59.415335,0,,,
131093,68506,tiktok,@my_pizza_oran,الله يبارك يشهو اممم  [APPRECIATION],2026-01-02T21:56:36.260921,0,,,
524309,15296,tiktok,@fouka.marine,وين جايه البلاصه بضبط,2026-01-02T18:07:31.673005,1,,,
131095,8337,Google Maps,American Burger Factory,Très bon service de la part de reda,2024-05-16T20:37:34.084Z,0,"food,service",,
786458,9914,Facebook,Restaurant Tabarka Annaba,لخر باينة وشخشوخة,2025-12-23T17:15:22.000Z,1,unknown,,
524316,1897,instagram,spartacos2019/,يا خويا توصيل كاين ؟,2025-01-10T18:37:12.000Z,1,unknown,,
524320,42388,tiktok,@street_food,سر راه في بلاكة لي يطيب عليها مشي كيما المقلة,2026-01-02T19:58:06.183270,0,,,
262185,72034,tiktok,@signature.dz,انوشا محبتشي تكبر,2026-01-02T22:12:12.942608,0,,,
524349,5024,Google Maps,Hicham cook pizza pasta,"J'arrive, le ""type"" à la caisse ne me calcule meme pas , j'attend quand-même un moment il me tourne le dos je repart, la American la yeddik la ydjibek",2018-09-14T21:09:44.652Z,2,unknown,,
786497,11763,Facebook,Restaurant San Benito,Wine had al khorti,2025-07-27T15:40:31.000Z,0,unknown,,
393286,14622,tiktok,@les_jumelles,les jumelles,2026-01-02T18:01:33.204513,0,,,
131145,10616,Facebook,"  Restaurant elassil








",السومة 67ليون ولا بدلة بمروتي,2025-12-27T02:49:42.000Z,0,unknown,,
917585,69502,tiktok,@cote_oran,Gustavo Fring si il était algérien,2026-01-02T21:57:59.950470,1,,,
393299,56000,tiktok,@mfood.annaba,حطونا لادغيس من فضلك,2026-01-02T21:14:16.148193,0,,,
655449,64180,tiktok,@lepalace1,على قداه تقفلو,2026-01-02T21:34:27.784949,1,,,
786529,63958,tiktok,@restauranttrattoriaoran,C’est le même restaurant trattoria aliferno ? De akid ?,2026-01-02T21:34:06.668656,2,,,
524386,31568,tiktok,@woodgrill_dz,هاتف من فضلك,2026-01-02T19:13:55.381407,0,,,
393326,1253,instagram,lestwins.restaurant,"Bonjour, peut-on avoir s’il vous plaît les tarifs ? Merci",2025-12-17T15:06:58.000Z,0,food,,
655481,49658,tiktok,@kik.sfood21,واين بلاصة نروحو ليه  [APPRECIATION],2026-01-02T20:41:17.789227,1,,,
524411,11758,Facebook,Restaurant San Benito,Trop. Cher,2025-08-21T08:44:15.000Z,0,price,,
655487,72154,tiktok,@pont_hydra,ah non stp pas stp pas je ne lesmangerai jamais même avec tout l'or du monde je pourrai jamais arriver a les bouffer quel horreur,2026-01-02T22:13:14.227727,0,,,
131203,16450,tiktok,@soltane.el.kababe,انااا نشتي ماكلتكم بصح رجعتو طوولو بزاف فلاكوموند مذابيينا تحسسنو شوي السارفيس برك بسك صح ماكلتكم بنينة وتخدموها ملييح بالتوفيق,2026-01-02T18:08:26.876255,2,,,
524425,63908,tiktok,@silyon69,في مسرڨين كنت مليح مي دروك راك تغلي,2026-01-02T21:33:16.602442,0,,,
393357,53146,tiktok,@la.tranche.23,win?,2026-01-02T21:05:47.693142,0,,,
131215,570,instagram,"brother.ts
",مزية سييتو,2024-10-04T12:43:35.000Z,0,unknown,,
262292,16366,tiktok,@mardoum,كاش عرضة عباس,2026-01-02T18:08:10.555300,0,,,
524438,2009,instagram,the____bakery,غالي حبة كرواسو بعشرين الف لالا مابنتليش وخداع وش ماحلها من الاعراب,2025-03-05T13:33:57.000Z,1,unknown,,
786582,63746,tiktok,@silyon69,je suis sur Oran je vais y aller demain incha Allah  [APPRECIATION],2026-01-02T21:33:13.162308,7,,,
131224,48864,tiktok,@le77tizi,Ça m’a coupé la pétiii,2026-01-02T20:38:55.682635,15,,,
393375,73332,tiktok,@pont_hydra,oooh tu peux pas savoir ce quant peut faire avec les escargots elle sont magnifiques. moi j'adore les adore avec une beau plat de spaghetti en sauce,2026-01-02T22:13:52.577581,0,,,
524461,33788,tiktok,@restaurant_gizay,لالا قوليلهم تيتانيك 2000 دج و يتهلاو فيك كي تستعملي كلمة بابور تيتانيك مرحبا بك [APPRECIATION],2026-01-02T19:22:52.171874,1,,,
786606,41924,tiktok,@street_food,العكس,2026-01-02T19:57:54.385433,0,,,
131251,5914,Google Maps,Casbah Istanbul,"Je déconseille cet endroit ! Malheureusement, j’ai eu des douleurs au ventre assez fortes juste après le repas, et je suis encore obligée de prendre des médicaments. Je crains qu’un des ingrédients n’ait pas été frais. De plus, j’ai été très déçue par l’attitude de la caissière, que j’ai trouvée mal polie ! Et honnêtement, j’ai été déçue par la qualité, ce n’était vraiment pas à la hauteur.",2025-05-18T06:31:15.272Z,0,place,,
655539,24612,tiktok,@laturquoisehotel,C’est ou svp ?,2026-01-02T18:30:17.426525,7,,,
524471,21162,tiktok,@triple_,oui comme ma mère  [APPRECIATION],2026-01-02T18:22:02.778831,0,,,
524472,30520,tiktok,@aymen.woody,Les poissons ?,2026-01-02T18:58:42.116279,0,,,
655548,17686,tiktok,@seven.times.luxury,luxury poche et Prix,2026-01-02T18:13:19.186028,0,,,
786620,15500,tiktok,@fouka.marine,ديرو الغناء ؟,2026-01-02T18:07:36.650673,1,,,
524476,64950,tiktok,@vibe.bistrot,Le lapin  je pense que c’est le plat du jour,2026-01-02T21:38:30.077943,9,,,
917706,47966,tiktok,@rahmani_food,و السومة كيفاش هدرت كلش و السومة جاتك واعرة. باين وخدة,2026-01-02T20:34:20.221973,0,,,
917714,62582,tiktok,@allechante,je confirme sur tt whde le jeune homme tema vraiment mchaalah,2026-01-02T21:30:53.140173,1,,,
393427,7764,Google Maps,Restaurant À Petit Feu,"Coup de cœur pour les nouilles aux crevettes et salade de poulpe par contre la Kefta est fade et manque d'assaisonnement. Propreté des lieux remarquable, service correct (il n'y avait pas beaucoup de monde hier) Satisfaits dans l'ensemble.",2023-09-16T07:27:16.701Z,3,"service,place",,
655577,59822,tiktok,@oscar_restaurant,restaurant très cher,2026-01-02T21:22:02.085775,2,,,
786650,786,instagram,elmarssem.dz,Bonjour vous ouvrez à quelle heure pour le brunch le vendredi svp ?,2025-07-29T23:59:24.000Z,0,food,,
131291,73204,tiktok,@pont_hydra,ايواك امحند تحية لسي محند,2026-01-02T22:13:49.961571,0,,,
