comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,model_prediction,feeling
13421,655363,تجي عليك ديري مساج على حساب هدرتك نتع نقلشك,Facebook,Restaurant San Benito,2025-10-13T18:08:32.000Z,3,,,,,,,True,[],neutral
11867,262178,وين جاء عمي حسان,Facebook,Restaurant San Benito,2025-09-04T23:19:53.000Z,0,,,Inquiry,,,,False,"[""place_inquiry""]",neutral
11549,786534,Poisson congelé يبعبع 1500DA نشري بيهم زوج ججات و ندير مرميطة طعام باللفت و القرعة احسن من الكونجلي و الزيت الفايح.,Facebook,Restaurant San Benito,2025-08-31T16:06:56.000Z,0,,,,,Complaint,,False,"[""price_complaint""]",negative
12006,262443,هاذو قاع 1500 دج مليحة الحق و الحق اقول,Facebook,Restaurant San Benito,2025-10-13T12:50:41.000Z,0,,,,,Appreciation,,False,"[""price_appreciation""]",positive
13167,786820,اعطيني الحوتة تاعك ناكلها بيها بشوكها حتى المقلة نلحسها,Facebook,Restaurant San Benito,2025-10-12T20:05:38.000Z,0,Appreciation,,,,,,False,"[""food_appreciation""]",positive
11892,786852,كي بدلت سومه ف لول مبقيناش نأمنو فيك غي عطيها,Facebook,Restaurant San Benito,2025-10-14T13:46:05.000Z,0,,,,,Complaint,,False,"[""price_complaint""]",negative
11376,525057,غير المكلة و الخرا,Facebook,Restaurant San Benito,2025-07-26T23:12:52.000Z,6,Complaint,,,,,,False,"[""food_complaint""]",negative
11721,525123,الله المستعان لا حول ولا قوة الا بالله كانه ماشي عيشين معاهم,Facebook,Restaurant San Benito,2025-07-26T20:36:40.000Z,0,,,,,,,True,[],neutral
12839,131992,الله يزيد ويبارك تبارك الرحمان,Facebook,Restaurant San Benito,2025-10-13T12:44:24.000Z,6,,,,,,,True,[],neutral
12203,656476,استدراج هذا طابلة فيها 2 ملاين,Facebook,Restaurant San Benito,2025-10-13T12:32:31.000Z,0,,,,,Complaint,,False,"[""price_complaint""]",negative
11899,132233,هاذو كامل ب 150الله يبارك الرخا كول يا الزوالي,Facebook,Restaurant San Benito,2025-07-27T11:47:20.000Z,0,,,,,Appreciation,,False,"[""price_appreciation""]",positive
11907,263328,C'est vraiment des bon prix,Facebook,Restaurant San Benito,2025-10-17T21:33:41.000Z,0,,,,,Appreciation,,False,"[""price_appreciation""]",positive
13070,918810,المهم تخلولي شويا صرف ولا نشور ابي,Facebook,Restaurant San Benito,2025-10-13T03:10:53.000Z,0,,,,,Complaint,,False,"[""price_complaint""]",negative
12237,918890,150الف معيشة تاع الزوالي,Facebook,Restaurant San Benito,2025-10-12T19:19:40.000Z,0,,,,,Complaint,,False,"[""price_complaint""]",negative
11854,656794,والله دخلت باش نقولك وين جاي دوماج واش قدني تراجي من الجزائر وهران  الله ايبارك  شكرا ربي يحفظك انشاء الله,Facebook,Restaurant San Benito,2025-07-27T03:37:39.000Z,0,,,,,,,True,[],neutral
12167,656975,وهذا مشي صمو هذاك اسبادو,Facebook,Restaurant San Benito,2025-10-13T12:11:29.000Z,0,,,,,,,True,[],neutral
11415,132832,ههههه وهرانة الاصلين يعجبوني صح متهلين في رواحهم ببزاف عينيا شافو تحية كبيرة ليهم,Facebook,Restaurant San Benito,2025-10-11T21:13:35.000Z,2,,,,,,,True,[],neutral
13626,788244,انا نهدر فلوجه ما نتخباش . انا كي نجي نجي على جالك ملخر  [INQUIRY] [RECOMMENDATION],Facebook,Restaurant San Benito,2025-12-26T16:14:47.000Z,0,,,Appreciation,,,,False,"[""place_appreciation""]",positive
13557,263974,الحياء و الطهارة من الضفران تبان,Facebook,Restaurant San Benito,2025-12-26T14:34:42.000Z,0,,,,,,,True,[],neutral
11618,264006,الله يبارك باطل بلاش,Facebook,Restaurant San Benito,2025-08-30T01:11:41.000Z,0,,,,,Appreciation,,False,"[""price_appreciation""]",positive
11720,132966,بصحتك خويا لعزيز,Facebook,Restaurant San Benito,2025-07-27T04:09:27.000Z,0,,,,,,,True,[],neutral
13623,788434,قلشيني بشواربك  [APPRECIATION],Facebook,Restaurant San Benito,2025-12-28T17:37:47.000Z,0,,,,,,,True,[],neutral
11838,788505,مكانش ثقة عندكم تخدمو غيل كونجلى,Facebook,Restaurant San Benito,2025-08-19T13:59:23.000Z,0,Complaint,,,,,,False,"[""food_complaint""]",negative
11986,395308,وين راكم؟,Facebook,Restaurant San Benito,2025-10-12T20:00:05.000Z,0,,,Inquiry,,,,False,"[""place_inquiry""]",neutral
13046,657727,كوليها نتي منجيش,Facebook,Restaurant San Benito,2025-10-13T11:57:53.000Z,0,,,,,,,True,[],neutral
11386,919878,Hajer Hajer طبسي الاخير مردومة فقط,Facebook,Restaurant San Benito,2025-08-02T11:28:46.000Z,0,,,,,,,True,[],neutral
13303,264760,Abou Marwan Ramdane اودي كوليسترول تاع الجيب أنا نتمتم وأنت فهم,Facebook,Restaurant San Benito,2025-10-13T16:47:02.000Z,2,,,,,,,True,[],neutral
13620,658068,قلشيني عمري قلشيني حوجيانا,Facebook,Restaurant San Benito,2025-12-29T18:09:49.000Z,0,,,,,,,True,[],neutral
